id1,id2,similarity,relatedness,contextual_similarity,FT-cbow,FT-SG,w2v-SG,w2v-cbow,Path-based,LV,NW
response,alert,0.25,0.6348,NAN,0.33,0.53,0.46,0.14,0.31,0.0,0.31
ln,ilen,0.7728,0.7866,0.8591,0.44,0.64,0.45,0.51,0.89,0.5,0.5
tasks,todos,0.9772,0.9288,NAN,0.5,0.6,0.49,0.32,0.79,0.4,0.7
images,authors,0.0207,0.3042,NAN,0.33,0.54,0.41,0.15,0.73,0.14,0.5
editable,dropdown,0.0625,0.3261,NAN,0.3,0.51,0.48,0.23,0.73,0.0,0.5
ReactDOMComponent,ReactTextComponent,0.4772,0.7154,0.8138,0.94,0.86,0.78,0.28,0.82,0.78,0.86
foundMap,foundStarMap,0.7045,0.8341,NAN,0.91,0.86,0.92,0.46,0.89,0.67,0.67
columns,cols,0.9667,0.9653,NAN,0.78,0.81,0.78,0.31,0.83,0.57,0.57
dm,_queueHooks,0.1138,0.1461,NAN,0.0,0.34,0.18,0.17,0.3,0.0,0.09
pushStackLiteral,oldSelection,0.05,0.113,NAN,0.13,0.27,0.32,0.31,0.55,0.12,0.44
fuchsia,pink,0.775,0.9478,0.9877,0.28,0.77,0.92,0.48,0.95,0.0,0.29
ExpressionStatement,FunctionDeclaration,0.2,0.6173,NAN,0.66,0.67,0.81,0.46,0.92,0.11,0.53
object2,overlapOnly,0.077,0.0368,NAN,0.44,0.67,0.74,0.54,0.46,0.09,0.36
_selection,_sel,0.9772,0.9763,NAN,0.81,0.82,0.69,0.43,0.45,0.4,0.4
alignTop,popupLocationBar,0.1457,0.3042,NAN,0.39,0.49,0.51,0.59,NAN,0.19,0.34
miny,ymin,1,0.7913,NAN,0.48,0.81,0.7,0.24,0.9,0.5,0.62
equal,eql,1,1,0.983,0.7,0.79,0.73,0.73,0.72,0.6,0.6
item,entry,0.775,0.7391,0.9186,0.4,0.63,0.46,0.13,0.84,0.2,0.5
image,polyline,0.225,0.4521,0.0247,0.2,0.44,0.31,-0.0,0.75,0.12,0.38
player,peer,0.4,0.6608,NAN,0.53,0.64,0.51,0.23,0.68,0.5,0.58
files,profiles,0.175,0.2695,NAN,0.58,0.6,0.42,-0.01,0.77,0.62,0.62
reset,clear,0.95,0.9478,0.945,0.52,0.69,0.63,0.34,0.93,0.0,0.5
reset,refresh,0.6332,0.7913,0.9822,0.45,0.63,0.62,0.28,0.86,0.43,0.57
username,userid,0.577,0.9799,NAN,0.72,0.79,0.67,0.15,0.65,0.5,0.62
clear,refresh,0.4375,0.6955,NAN,0.55,0.66,0.61,0.35,0.81,0.14,0.43
